,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
15,ABT,2020-09-17,111.29000091552734,-13.709999084472656,125.0,1.55,1.48,1.69,1.5,3000.0,780.0,198.0,0.53320779296875,0.0,3.9393939393939394,30690.000000000004,-0.12319165218516785
16,ABT,2020-09-17,111.29000091552734,-18.709999084472656,130.0,1.0,1.3,1.36,0.99,9900.01,929.0,23.0,0.6005899316406251,0.0,40.391304347826086,2300.0,-0.16811931827257456
17,ABT,2020-09-17,111.29000091552734,-23.709999084472656,135.0,1.0,1.0,1.1,0.98,4900.0005,1990.0,81.0,0.6459996337890624,0.0,24.567901234567902,8100.0,-0.2130469843599813
18,ABT,2020-09-17,111.29000091552734,-28.709999084472656,140.0,0.9,0.83,0.9,0.84999996,1699.9998,4605.0,1.0,0.692385888671875,0.0,4605.0,90.0,-0.257974650447388
20,AMD,2020-09-17,83.80000305175781,-8.699996948242188,92.5,1.47,1.47,1.54,-0.6199999,-29.665068,1115.0,3211.0,0.534184345703125,0.0,0.3472438492681408,472017.0,-0.10381857555385487
21,AMD,2020-09-17,83.80000305175781,-11.199996948242188,95.0,1.11,1.07,1.15,-0.40999997,-26.973682,2029.0,5023.0,0.5437057348632813,0.0,0.4039418674099144,557553.0000000001,-0.13365151002828338
22,AMD,2020-09-17,83.80000305175781,-16.199996948242188,100.0,0.63,0.61,0.65,-0.23000002,-26.744186,3679.0,11765.0,0.570316796875,0.0,0.312707182320442,741195.0,-0.1933173789771404
23,AMD,2020-09-17,83.80000305175781,-21.199996948242188,105.0,0.38,0.37,0.42,-0.13999999,-26.923075,340.0,4590.0,0.6064492480468751,0.0,0.07407407407407407,174420.0,-0.2529832479259974
24,AMD,2020-09-17,83.80000305175781,-26.199996948242188,110.0,0.25,0.24,0.28,-0.060000002,-19.35484,275.0,2228.0,0.6425816992187501,0.0,0.12342908438061041,55700.0,-0.31264911687485447
27,AMD,2020-09-17,83.80000305175781,-41.19999694824219,125.0,0.12,0.08,0.12,0.009999998,9.090907,211.0,466.0,0.7500025,0.0,0.45278969957081544,5591.999999999999,-0.4916467237214255
30,AMD,2020-09-17,83.80000305175781,-56.19999694824219,140.0,0.06,0.06,0.07,0.02,50.0,1155.0,2094.0,0.87500125,0.0,0.5515759312320917,12564.0,-0.6706443305679965
8,ALK,2020-09-17,38.5,-4.0,42.5,0.74,0.6,0.8,0.42000002,131.25002,324.0,1079.0,0.5371140039062501,0.0,0.3002780352177943,79846.0,-0.1038961038961039
12,MO,2020-09-17,43.75,-6.25,50.0,0.03,0.02,0.04,0.02,200.0,225.0,3975.0,0.2910227148437499,0.0,0.05660377358490566,11925.0,-0.14285714285714285
311,AMZN,2020-09-17,3400.0,-400.0,3800.0,27.78,26.9,28.0,-11.519999,-29.312975,346.0,768.0,0.4275417353820801,0.0,0.4505208333333333,2133504.0,-0.11764705882352941
315,AMZN,2020-09-17,3400.0,-600.0,4000.0,13.9,14.0,14.2,-5.6000004,-28.71795,873.0,2804.0,0.46162952926635753,0.0,0.31134094151212555,3897560.0,-0.17647058823529413
316,AMZN,2020-09-17,3400.0,-650.0,4050.0,12.01,11.45,12.3,-5.6900005,-32.146896,244.0,311.0,0.47188333297729496,0.0,0.7845659163987139,373511.0,-0.19117647058823528
335,AMZN,2020-09-17,3400.0,-1600.0,5000.0,2.96,2.41,2.96,0.059999943,2.0689635,819.0,2495.0,0.6884796777343751,0.0,0.3282565130260521,738520.0,-0.47058823529411764
12,AAL,2020-09-17,13.279999732971191,-1.7200002670288086,15.0,0.62,0.6,0.63,0.25,67.567566,6523.0,30562.0,0.93945373046875,0.0,0.2134349846214253,1894843.9999999998,-0.12951809500104453
13,AAL,2020-09-17,13.279999732971191,-2.7200002670288086,16.0,0.45,0.43,0.45,0.17999998,66.66666,3106.0,8713.0,0.9804689453125001,0.0,0.35647882474463444,392085.0,-0.20481930133444748
14,AAL,2020-09-17,13.279999732971191,-3.7200002670288086,17.0,0.33,0.31,0.34,0.13000001,65.0,510.0,2767.0,1.0253954980468751,0.0,0.18431514275388508,91311.0,-0.28012050766785046
15,AAL,2020-09-17,13.279999732971191,-4.720000267028809,18.0,0.26,0.24,0.26,0.099999994,62.5,1164.0,9797.0,1.0742233789062503,0.0,0.1188118811881188,254722.00000000003,-0.35542171400125344
16,AAL,2020-09-17,13.279999732971191,-5.720000267028809,19.0,0.21,0.19,0.21,0.089999996,75.0,382.0,1526.0,1.125004375,0.0,0.2503276539973788,32045.999999999996,-0.43072292033465637
17,AAL,2020-09-17,13.279999732971191,-6.720000267028809,20.0,0.17,0.16,0.17,0.07,70.0,4777.0,7682.0,1.1757853710937498,0.0,0.6218432699817755,130594.0,-0.5060241266680594
18,AAL,2020-09-17,13.279999732971191,-11.720000267028809,25.0,0.08,0.08,0.09,0.029999997,59.999996,2189.0,4423.0,1.4140654296875002,0.0,0.49491295500791316,35384.0,-0.8825301583350742
17,AMGN,2020-09-17,252.80999755859375,-27.19000244140625,280.0,0.86,0.77,0.9,0.29000002,50.877197,288.0,568.0,0.3154365332031249,0.0,0.5070422535211268,48848.0,-0.10755113604676345
92,AAPL,2020-09-17,500.0400085449219,-54.959991455078125,555.0,8.8,8.6,8.95,-1.5299997,-14.811227,553.0,0.0,0.5449874603271485,0.0,inf,0.0,-0.10991118813674028
93,AAPL,2020-09-17,500.0400085449219,-59.959991455078125,560.0,8.05,7.85,8.15,-1.3499994,-14.361696,1584.0,3476.0,0.5497481549072267,0.0,0.45569620253164556,2798180.0000000005,-0.11991038802986406
94,AAPL,2020-09-17,500.0400085449219,-64.95999145507812,565.0,7.35,7.2,7.45,-1.0499997,-12.499997,396.0,0.0,0.5553633331298828,0.0,inf,0.0,-0.12990958792298785
95,AAPL,2020-09-17,500.0400085449219,-69.95999145507812,570.0,6.7,6.6,6.85,-1.1500001,-14.649683,266.0,0.0,0.5613447186279297,0.0,inf,0.0,-0.13990878781611163
96,AAPL,2020-09-17,500.0400085449219,-74.95999145507812,575.0,6.17,6.05,6.3,-0.98,-13.706294,221.0,894.0,0.5672040350341796,0.0,0.24720357941834453,551598.0,-0.1499079877092354
97,AAPL,2020-09-17,500.0400085449219,-79.95999145507812,580.0,5.67,5.55,5.8,-0.9299998,-14.090906,381.0,2494.0,0.5730023168945313,0.0,0.15276663993584602,1414098.0,-0.15990718760235922
99,AAPL,2020-09-17,500.0400085449219,-89.95999145507812,590.0,4.85,4.7,5.0,-0.75,-13.392857,1122.0,4661.0,0.5861857788085938,0.0,0.24072087534863762,2260585.0,-0.1799055873886068
101,AAPL,2020-09-17,500.0400085449219,-99.95999145507812,600.0,4.22,4.1,4.35,-0.5500002,-11.530402,3605.0,9026.0,0.6016275189208986,0.0,0.3994017283403501,3808972.0,-0.19990398717485436
111,AAPL,2020-09-17,500.0400085449219,-149.95999145507812,650.0,2.27,2.18,2.33,-0.21000004,-8.467744,211.0,0.0,0.6733431103515627,0.0,inf,0.0,-0.2998959861060922
