,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
11,MMM,2020-08-20,160.5,-19.5,180.0,0.77,0.71,1.1,-0.22000003,-22.222225,268.0,189.0,0.3217841259765625,False,1.417989417989418,14553.0,-0.12149532710280374
27,ABT,2020-08-20,96.4000015258789,-13.599998474121094,110.0,0.29,0.27,0.31,-0.19,-39.583336,459.0,2706.0,0.29053443847656246,False,0.1696230598669623,78473.99999999999,-0.14107882011257156
23,ATVI,2020-08-20,79.37000274658203,-10.629997253417969,90.0,0.95,0.96,1.0,-0.04000002,-4.040406,232.0,4729.0,0.41797457031249996,False,0.04905899767392683,449255.0,-0.13392965711943025
25,ATVI,2020-08-20,79.37000274658203,-20.62999725341797,100.0,0.29,0.27,0.29,-0.030000001,-9.375001,205.0,4461.0,0.45703667968750006,False,0.04595382201300157,129368.99999999999,-0.2599218412438114
10,AMD,2020-08-20,54.91999816894531,-7.5800018310546875,62.5,1.79,1.73,1.9,-0.16000009,-8.2051325,2112.0,4925.0,0.6347692773437501,False,0.4288324873096447,881575.0,-0.13801897457711176
11,AMD,2020-08-20,54.91999816894531,-10.080001831054688,65.0,1.35,1.3,1.4,-0.13999999,-9.395972,849.0,12948.0,0.6411168701171875,False,0.06556997219647823,1747980.0000000002,-0.18353973356019623
12,AMD,2020-08-20,54.91999816894531,-15.080001831054688,70.0,0.83,0.75,0.9,-0.050000012,-5.6818194,6526.0,0.0,0.6757844921875001,False,inf,0.0,-0.27458125152636514
13,AMD,2020-08-20,54.91999816894531,-20.080001831054688,75.0,0.53,0.5,0.57,-0.01000005,-1.851861,290.0,1272.0,0.7128934960937501,False,0.2279874213836478,67416.00000000001,-0.36562276949253414
14,AMD,2020-08-20,54.91999816894531,-25.080001831054688,80.0,0.36,0.32,0.42,0.0,0.0,278.0,0.0,0.752932158203125,False,inf,0.0,-0.4566642874587031
17,AMD,2020-08-20,54.91999816894531,-40.08000183105469,95.0,0.15,0.08,0.17,0.0,0.0,231.0,1945.0,0.8339860351562498,False,0.11876606683804627,29175.0,-0.7297888413572099
292,AMZN,2020-08-20,2999.89990234375,-300.10009765625,3300.0,101.43,97.45,106.6,-6.5699997,-6.083333,591.0,1105.0,0.5593839838409423,False,0.534841628959276,11208015.0,-0.10003670369860973
312,AMZN,2020-08-20,2999.89990234375,-500.10009765625,3500.0,64.0,62.8,65.85,-3.0,-4.477612,295.0,896.0,0.5770191529464721,False,0.32924107142857145,5734400.0,-0.16670559483185882
