,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
15,ATVI,2020-08-20,79.7699966430664,14.769996643066406,65.0,0.62,0.55,0.64,-0.19,-23.456789,1488.0,2324.0,0.507817421875,0.0,0.6402753872633391,144088.0,0.185157293025287
24,ADBE,2020-08-20,433.7799987792969,58.779998779296875,375.0,4.92,3.3,4.6,2.42,96.8,375.0,338.0,0.44214425048828127,0.0,1.1094674556213018,166296.0,0.13550647550534844
27,ADBE,2020-08-20,433.7799987792969,43.779998779296875,390.0,7.49,5.9,7.1,2.6499996,54.752056,800.0,527.0,0.4259700958251954,0.0,1.5180265654648957,394723.0,0.10092673452556239
2,AMD,2020-08-20,54.720001220703125,19.720001220703125,35.0,0.11,0.11,0.18,-0.030000001,-21.428572,679.0,3334.0,0.7617211328125001,0.0,0.20365926814637073,36674.0,0.3603801312278138
3,AMD,2020-08-20,54.720001220703125,14.720001220703125,40.0,0.38,0.37,0.39,-0.030000001,-7.317074,819.0,8039.0,0.692385888671875,0.0,0.1018783430774972,305482.0,0.26900586426035866
4,AMD,2020-08-20,54.720001220703125,9.720001220703125,45.0,0.98,0.96,1.05,-0.06999993,-6.6666603,1144.0,6569.0,0.6557651611328126,0.0,0.17415131679098797,643762.0,0.17763159729290348
7,AAP,2020-08-20,138.5800018310547,18.580001831054688,120.0,3.02,3.0,3.3,0.0,0.0,1255.0,1339.0,0.58789474609375,0.0,0.9372666168782674,404378.0,0.13407419241995605
5,AKAM,2020-08-20,112.2699966430664,47.269996643066406,65.0,0.77,0.0,0.8,0.0,0.0,227.0,206.0,0.956055126953125,0.0,1.1019417475728155,15862.0,0.42103855042722776
11,AKAM,2020-08-20,112.2699966430664,24.769996643066406,87.5,0.85,0.25,0.75,0.32000005,60.377373,511.0,241.0,0.5195360546875,0.0,2.120331950207469,20485.0,0.2206288178828066
2,ALK,2020-08-20,35.4900016784668,10.490001678466797,25.0,0.44,0.4,0.55,-0.060000002,-12.0,233.0,314.0,0.8994150683593749,0.0,0.7420382165605095,13816.0,0.2955762519682128
102,AMZN,2020-08-20,3084.0,984.0,2100.0,7.7,7.4,8.6,2.1999998,39.999996,241.0,1029.0,0.6659579302978518,0.0,0.23420796890184645,792330.0,0.31906614785992216
152,AMZN,2020-08-20,3084.0,734.0,2350.0,26.01,22.8,26.65,15.13,139.0625,209.0,238.0,0.6425511819458009,0.0,0.8781512605042017,619038.0,0.23800259403372243
182,AMZN,2020-08-20,3084.0,584.0,2500.0,40.55,41.15,45.85,8.549999,26.718748,365.0,805.0,0.6275366836547852,0.0,0.453416149068323,3264274.9999999995,0.1893644617380026
201,AMZN,2020-08-20,3084.0,484.0,2600.0,69.69,57.35,64.1,22.190002,46.715797,378.0,808.0,0.6160164131164552,0.0,0.46782178217821785,5630952.0,0.1569390402075227
221,AMZN,2020-08-20,3084.0,384.0,2700.0,82.06,80.25,84.0,11.559998,16.39716,321.0,821.0,0.6025277784729006,0.0,0.3909866017052375,6737125.999999999,0.1245136186770428
5,AAL,2020-08-20,11.569999694824219,3.5699996948242188,8.0,0.41,0.39,0.43,-0.02000001,-4.6511655,1928.0,39341.0,1.29297228515625,0.0,0.04900739686332325,1612981.0,0.3085565936895608
