,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
26,ABT,2020-08-20,93.08999633789062,-11.910003662109375,105.0,0.65,0.62,0.81,0.089999974,16.071424,1317.0,3257.0,0.3442448388671875,False,0.40435984034387473,211705.00000000003,-0.1279407469184916
27,ABT,2020-08-20,93.08999633789062,-16.910003662109375,110.0,0.34,0.3,0.42,0.050000012,17.241385,790.0,2153.0,0.36035795898437495,False,0.36692986530422667,73202.00000000001,-0.1816522110574674
29,ABT,2020-08-20,93.08999633789062,-26.910003662109375,120.0,0.14,0.08,0.15,0.020000003,16.66667,315.0,3269.0,0.4062559375,False,0.09635974304068523,45766.0,-0.289075139335419
22,ABBV,2020-08-20,97.86000061035156,-12.139999389648438,110.0,0.59,0.45,0.6,0.109999985,22.916664,1002.0,7419.0,0.30322962402343745,False,0.13505863323898099,437721.0,-0.12405476511272652
22,ATVI,2020-08-20,77.94999694824219,-9.550003051757812,87.5,1.28,1.25,1.52,-0.72,-36.0,338.0,698.0,0.45313046875,False,0.48424068767908307,89344.0,-0.1225144762750779
23,ATVI,2020-08-20,77.94999694824219,-12.050003051757812,90.0,0.95,0.95,1.18,-0.44,-31.654676,2720.0,2270.0,0.4660697924804688,False,1.198237885462555,215650.0,-0.15458631845436585
24,ATVI,2020-08-20,77.94999694824219,-17.050003051757812,95.0,0.52,0.32,0.6,-0.19,-26.760563,309.0,805.0,0.46655806884765627,False,0.3838509316770186,41860.0,-0.21873000281294172
25,ATVI,2020-08-20,77.94999694824219,-22.050003051757812,100.0,0.34,0.33,0.45,-0.07999998,-19.047615,2876.0,2970.0,0.5136767382812499,False,0.9683501683501684,100980.0,-0.2828736871715176
42,ADBE,2020-08-20,442.4700012207031,-57.529998779296875,500.0,3.55,3.15,4.95,-3.6499999,-50.694443,512.0,287.0,0.378363150024414,False,1.78397212543554,101884.99999999999,-0.13002011124049295
9,AMD,2020-08-20,53.59000015258789,-6.409999847412109,60.0,2.08,2.08,2.25,-0.99,-32.24756,12379.0,26861.0,0.6350134155273439,False,0.4608540262834593,5587088.0,-0.11961186469790609
10,AMD,2020-08-20,53.59000015258789,-8.90999984741211,62.5,1.6,1.47,1.85,-0.7900001,-33.054398,2679.0,3044.0,0.6462437719726561,False,0.8800919842312747,487040.00000000006,-0.16626235906031883
11,AMD,2020-08-20,53.59000015258789,-11.40999984741211,65.0,1.27,1.16,1.28,-0.5500001,-30.219784,4082.0,11749.0,0.6469761865234375,False,0.34743382415524726,1492123.0,-0.21291285342273158
12,AMD,2020-08-20,53.59000015258789,-16.40999984741211,70.0,0.81,0.75,0.85,-0.32,-28.318584,9586.0,3565.0,0.6909210595703126,False,2.6889200561009816,288765.0,-0.3062138421475571
13,AMD,2020-08-20,53.59000015258789,-21.40999984741211,75.0,0.54,0.5,0.56,-0.15999997,-22.857138,738.0,923.0,0.7260769580078125,False,0.7995666305525461,49842.0,-0.3995148308723826
14,AMD,2020-08-20,53.59000015258789,-26.40999984741211,80.0,0.4,0.2,0.43,-0.06999999,-14.893616,956.0,2041.0,0.737307314453125,False,0.46839784419402253,81640.00000000001,-0.4928158195972081
16,AMD,2020-08-20,53.59000015258789,-36.40999984741211,90.0,0.25,0.19,0.29,-0.030000001,-10.714286,787.0,364.0,0.8554701953125,False,2.162087912087912,9100.0,-0.6794177970468591
17,AMD,2020-08-20,53.59000015258789,-41.40999984741211,95.0,0.19,0.14,0.19,-0.040000007,-17.391306,689.0,1681.0,0.870118486328125,False,0.4098750743604997,31939.0,-0.7727187857716846
5,AAP,2020-08-20,135.1300048828125,-14.8699951171875,150.0,3.0,3.2,3.6,0.099999905,3.4482725,1279.0,136.0,0.49487809814453126,False,9.404411764705882,40800.0,-0.11004214149243215
