,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
41,ABBV,2020-08-20,97.11000061035156,-12.889999389648438,110.0,0.25,0.24,0.26,-0.06999999,-21.874998,240.0,10531.0,0.30225307128906254,False,0.022789858512961732,263275.0,-0.13273606537568503
43,ATVI,2020-08-20,79.98999786376953,-10.010002136230469,90.0,0.85,0.87,1.0,0.07000005,8.974366,2190.0,0.0,0.454107021484375,False,inf,0.0,-0.1251406726285759
45,ATVI,2020-08-20,79.98999786376953,-20.01000213623047,100.0,0.27,0.26,0.29,0.030000016,12.500008,668.0,4739.0,0.5039112109375,False,0.1409580080185693,127953.0,-0.2501563029206399
46,ATVI,2020-08-20,79.98999786376953,-25.01000213623047,105.0,0.21,0.2,0.22,0.08,61.538464,987.0,516.0,0.551762294921875,False,1.9127906976744187,10836.0,-0.3126641180666719
28,AMD,2020-08-20,69.4000015258789,-10.599998474121094,80.0,2.13,2.1,2.13,1.7100002,407.1429,7196.0,3111.0,0.7268093725585938,False,2.313082610093218,662642.9999999999,-0.1527377268164527
29,AMD,2020-08-20,69.4000015258789,-15.599998474121094,85.0,1.39,1.38,1.4,1.11,396.4286,8058.0,1149.0,0.7507349145507812,False,7.013054830287206,159711.0,-0.224783834742481
30,AMD,2020-08-20,69.4000015258789,-20.599998474121094,90.0,0.89,0.86,0.9,0.69,345.0,1071.0,880.0,0.76367423828125,False,1.2170454545454545,78320.0,-0.2968299426685093
31,AMD,2020-08-20,69.4000015258789,-25.599998474121094,95.0,0.59,0.61,0.63,0.45,321.42856,2739.0,1957.0,0.795900478515625,False,1.3995912110373019,115462.99999999999,-0.3688760505945376
4,ALK,2020-08-20,35.060001373291016,-4.939998626708984,40.0,0.85,0.8,0.85,-0.52,-37.956203,215.0,1050.0,0.62305064453125,False,0.20476190476190476,89250.0,-0.14090126734770508
23,ALXN,2020-08-20,101.48999786376953,-18.51000213623047,120.0,0.45,0.3,0.55,-0.35000002,-43.750004,258.0,1699.0,0.446294599609375,False,0.151854031783402,76455.0,-0.18238252562657972
100,GOOGL,2020-08-20,1508.2099609375,-241.7900390625,1750.0,4.9,4.8,5.6,-1.0999999,-18.333332,304.0,415.0,0.3724122817993164,False,0.7325301204819277,203350.00000000003,-0.16031590118407907
306,AMZN,2020-08-20,3008.909912109375,-391.090087890625,3400.0,50.0,51.0,52.15,-1.0900002,-2.13349,223.0,1376.0,0.523442265625,False,0.1620639534883721,6880000.0,-0.1299773337568801
316,AMZN,2020-08-20,3008.909912109375,-491.090087890625,3500.0,38.35,38.0,39.1,-0.45000076,-1.1597959,647.0,1435.0,0.5353516313934327,False,0.4508710801393728,5503225.0,-0.16321196122031775
318,AMZN,2020-08-20,3008.909912109375,-531.090087890625,3540.0,36.0,33.05,35.15,2.5299988,7.5590043,218.0,65.0,0.5389068936920167,False,3.353846153846154,234000.0,-0.1765058122056928
319,AMZN,2020-08-20,3008.909912109375,-541.090087890625,3550.0,32.81,32.45,34.05,-1.1899986,-3.499996,216.0,1190.0,0.5407150421142579,False,0.1815126050420168,3904390.0,-0.17982927495203657
328,AMZN,2020-08-20,3008.909912109375,-691.090087890625,3700.0,21.97,22.15,23.35,-1.7000008,-7.18209,275.0,695.0,0.5654950677490236,False,0.39568345323741005,1526915.0,-0.22968121614719306
331,AMZN,2020-08-20,3008.909912109375,-841.090087890625,3850.0,16.32,15.85,16.5,-1.2700005,-7.220014,202.0,162.0,0.591846732940674,False,1.2469135802469136,264384.0,-0.2795331573423495
334,AMZN,2020-08-20,3008.909912109375,-991.090087890625,4000.0,12.5,12.0,12.8,-1.0,-7.4074073,243.0,1346.0,0.6238135763549805,False,0.18053491827637444,1682500.0,-0.329385098537506
16,AAL,2020-08-20,11.390000343322754,-1.609999656677246,13.0,0.63,0.5,0.53,-0.16000003,-20.253168,8254.0,22475.0,0.851563984375,False,0.36725250278086763,1415925.0,-0.1413520288101737
17,AAL,2020-08-20,11.390000343322754,-2.109999656677246,13.5,0.41,0.38,0.44,-0.22,-34.920635,428.0,982.0,0.85937640625,False,0.43584521384928715,40261.99999999999,-0.18525018376441113
18,AAL,2020-08-20,11.390000343322754,-2.609999656677246,14.0,0.33,0.33,0.34,-0.18999997,-36.53846,3144.0,8770.0,0.87500125,False,0.3584948688711517,289410.0,-0.2291483387186486
20,AAL,2020-08-20,11.390000343322754,-3.609999656677246,15.0,0.22,0.22,0.23,-0.15,-40.54054,908.0,19951.0,0.9062509375,False,0.045511503182797855,438922.0,-0.31694464862712346
22,AAL,2020-08-20,11.390000343322754,-4.609999656677246,16.0,0.16,0.15,0.18,-0.09,-36.0,1425.0,5746.0,0.9531254687499999,False,0.24799860772711452,91936.0,-0.4047409585355984
23,AAL,2020-08-20,11.390000343322754,-5.109999656677246,16.5,0.14,0.12,0.17,-0.08,-36.363636,245.0,312.0,0.9765627343750001,False,0.7852564102564102,4368.000000000001,-0.4486391134898358
24,AAL,2020-08-20,11.390000343322754,-5.609999656677246,17.0,0.13,0.12,0.15,-0.040000007,-23.529415,499.0,10156.0,1.015629921875,False,0.04913351713272942,132028.0,-0.4925372684440733
29,AAL,2020-08-20,11.390000343322754,-8.609999656677246,20.0,0.08,0.07,0.08,-0.010000005,-11.111116,278.0,16175.0,1.15625421875,False,0.017187017001545596,129400.0,-0.755926198169498
39,AAL,2020-08-20,11.390000343322754,-18.609999656677246,30.0,0.04,0.02,0.05,-0.010000002,-20.000004,400.0,13797.0,1.5625021874999998,False,0.02899180981372762,55188.0,-1.633889297254247
46,AAL,2020-08-20,11.390000343322754,-25.609999656677246,37.0,0.02,0.02,0.05,-0.01,-33.333336,223.0,1702.0,1.8281258593749998,False,0.1310223266745006,3404.0,-2.2484634666135714
32,AXP,2020-08-20,95.33000183105469,-9.669998168945312,105.0,0.8,0.79,0.85,-0.56,-41.17647,509.0,2183.0,0.35547519531249994,False,0.2331653687585891,174640.0,-0.10143709202987988
25,APA,2020-08-20,14.199999809265137,-13.300000190734863,27.5,0.07,0.0,0.06,0.0,0.0,209.0,239.0,1.09375453125,False,0.8744769874476988,1673.0,-0.9366197443225988
56,AAPL,2020-08-20,370.4599914550781,-39.540008544921875,410.0,2.57,2.0,2.9,-0.83000016,-24.41177,2090.0,3382.0,0.3508365698242187,False,0.6179775280898876,869174.0,-0.1067321963422236
58,AAPL,2020-08-20,370.4599914550781,-44.540008544921875,415.0,2.08,1.8,2.8,-0.6700001,-24.363638,652.0,2449.0,0.37366348999023435,False,0.2662311147407105,509392.0,-0.12022893044395803
59,AAPL,2020-08-20,370.4599914550781,-49.540008544921875,420.0,1.7,1.65,2.13,-0.54999995,-24.444443,883.0,3149.0,0.3688417608642578,False,0.28040647824706255,535330.0,-0.13372566454569246
60,AAPL,2020-08-20,370.4599914550781,-54.540008544921875,425.0,1.4,1.25,1.54,-0.5400001,-27.835056,720.0,3553.0,0.36096830444335937,False,0.20264565156206024,497420.0,-0.1472223986474269
61,AAPL,2020-08-20,370.4599914550781,-59.540008544921875,430.0,1.18,1.04,1.5,-0.5400001,-31.395351,268.0,5004.0,0.38086556640624997,False,0.053557154276578735,590471.9999999999,-0.16071913274916133
62,AAPL,2020-08-20,370.4599914550781,-64.54000854492188,435.0,1.02,0.48,1.28,-0.30000007,-22.727278,404.0,1746.0,0.3880676428222656,False,0.2313860252004582,178092.0,-0.17421586685089577
63,AAPL,2020-08-20,370.4599914550781,-69.54000854492188,440.0,0.92,0.76,0.96,-0.23999995,-20.689651,315.0,2677.0,0.3842835009765625,False,0.11766903249906611,246284.0,-0.1877126009526302
65,AAPL,2020-08-20,370.4599914550781,-79.54000854492188,450.0,0.73,0.66,0.8,-0.13999999,-16.091951,2896.0,4448.0,0.40796490478515623,False,0.6510791366906474,324704.0,-0.21470606915609908
30,AMAT,2020-08-20,60.619998931884766,-7.880001068115234,68.5,1.07,0.43,0.61,0.0,0.0,210.0,258.0,0.43066975585937506,False,0.813953488372093,27606.0,-0.1299901221867315
21,T,2020-08-20,29.56999969482422,-3.4300003051757812,33.0,0.07,0.06,0.07,-0.009999998,-12.499998,344.0,43133.0,0.26758544921875,False,0.007975332112303805,301931.00000000006,-0.11599595335052204
32,T,2020-08-20,29.56999969482422,-11.430000305175781,41.0,0.01,0.0,0.03,0.0,0.0,271.0,502.0,0.500005,False,0.5398406374501992,502.00000000000006,-0.38654042689004253
27,BAC,2020-08-20,24.350000381469727,-2.6499996185302734,27.0,0.2,0.2,0.21,-0.059999987,-23.07692,1234.0,42312.0,0.367193828125,False,0.029164303270939686,846240.0,-0.10882955141745766
28,BAC,2020-08-20,24.350000381469727,-3.1499996185302734,27.5,0.16,0.15,0.17,-0.030000001,-15.7894745,1939.0,19723.0,0.38184211914062494,False,0.09831161587993713,315568.0,-0.12936343199926245
29,BAC,2020-08-20,24.350000381469727,-3.6499996185302734,28.0,0.11,0.11,0.12,-0.030000001,-21.428572,4562.0,74555.0,0.38086556640624997,False,0.061189725705854736,820104.9999999999,-0.1498973125810672
31,BAC,2020-08-20,24.350000381469727,-4.649999618530273,29.0,0.06,0.05,0.07,-0.010000002,-14.285716,201.0,29057.0,0.398443515625,False,0.006917438138830574,174341.99999999997,-0.19096507374467675
33,BAC,2020-08-20,24.350000381469727,-5.649999618530273,30.0,0.04,0.04,0.05,-0.010000002,-20.000004,651.0,41879.0,0.42578699218750005,False,0.015544783781847704,167516.0,-0.2320328349082863
34,BAC,2020-08-20,24.350000381469727,-6.649999618530273,31.0,0.03,0.03,0.04,-0.01,-25.0,240.0,10872.0,0.46094289062500005,False,0.02207505518763797,32615.999999999996,-0.27310059607189585
40,BAC,2020-08-20,24.350000381469727,-12.649999618530273,37.0,0.02,0.0,0.01,0.0,0.0,238.0,18272.0,0.5625043750000001,False,0.01302539404553415,36544.0,-0.5195071630535532
41,BAC,2020-08-20,24.350000381469727,-13.649999618530273,38.0,0.01,0.0,0.01,0.0,0.0,580.0,5743.0,0.5937540625000001,False,0.10099251262406408,5743.0,-0.5605749242171626
38,BA,2020-08-20,173.75999450683594,-26.240005493164062,200.0,4.69,4.65,4.9,-1.2599998,-21.176468,1953.0,6037.0,0.6899445068359377,False,0.3235050521782342,2831353.0000000005,-0.1510129277319455
41,BA,2020-08-20,173.75999450683594,-36.24000549316406,210.0,3.3,3.25,3.6,-0.85000014,-20.48193,817.0,3828.0,0.7160672924804687,False,0.21342737722048066,1263240.0,-0.2085635741185428
