,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
21,ABMD,2020-08-20,314.3500061035156,-35.649993896484375,350.0,0.3,0.1,0.5,0.25,500.0,312.0,508.0,0.815431533203125,False,0.6141732283464567,15240.0,-0.11340859934561227
22,ABMD,2020-08-20,314.3500061035156,-45.649993896484375,360.0,0.24,0.05,0.25,-0.53999996,-69.23077,304.0,492.0,0.8808605664062499,False,0.6178861788617886,11808.0,-0.14522027361262976
73,ATVI,2020-08-20,81.9800033569336,-28.019996643066406,110.0,0.01,0.0,0.01,0.0,0.0,542.0,1613.0,1.3750031249999999,False,0.3360198388096714,1613.0,-0.34179062570990454
57,AMD,2020-08-20,81.08999633789062,-8.910003662109375,90.0,0.06,0.05,0.06,-0.040000003,-40.000004,4403.0,12445.0,0.7500025,False,0.35379670550421854,74670.0,-0.10987796355277464
63,AMD,2020-08-20,81.08999633789062,-13.910003662109375,95.0,0.03,0.01,0.04,0.0,0.0,431.0,6928.0,0.945313046875,False,0.062211316397228635,20784.0,-0.17153785041681768
68,AMD,2020-08-20,81.08999633789062,-18.910003662109375,100.0,0.01,0.0,0.02,0.0,0.0,523.0,9477.0,1.0781296093750001,False,0.055186240371425554,9477.0,-0.2331977372808607
85,AMD,2020-08-20,81.08999633789062,-38.910003662109375,120.0,0.01,0.0,0.01,0.0,0.0,296.0,513.0,1.75000125,False,0.5769980506822612,513.0,-0.47983728473703285
30,ALXN,2020-08-20,101.69999694824219,-18.300003051757812,120.0,0.02,0.0,0.1,0.0,0.0,257.0,1801.0,1.0468797656250002,False,0.14269850083287064,3602.0000000000005,-0.17994103835687594
351,AMZN,2020-08-20,3260.47998046875,-339.52001953125,3600.0,0.71,0.55,0.72,-3.8899999,-84.565216,1492.0,1725.0,0.5942423388671876,False,0.864927536231884,122475.0,-0.1041319135725649
361,AMZN,2020-08-20,3260.47998046875,-439.52001953125,3700.0,0.31,0.25,0.35,-2.44,-88.72728,433.0,1604.0,0.6709017285156251,False,0.2699501246882793,49724.0,-0.13480224450513617
366,AMZN,2020-08-20,3260.47998046875,-489.52001953125,3750.0,0.3,0.23,0.4,-2.14,-87.70492,245.0,371.0,0.737307314453125,False,0.660377358490566,11130.0,-0.15013740997142178
371,AMZN,2020-08-20,3260.47998046875,-539.52001953125,3800.0,0.12,0.09,0.25,-1.78,-93.68421,610.0,1809.0,0.7500025,False,0.33720287451630737,21708.0,-0.1654725754377074
388,AMZN,2020-08-20,3260.47998046875,-739.52001953125,4000.0,0.13,0.1,0.14,-0.72,-84.70589,286.0,1974.0,0.940430283203125,False,0.14488348530901723,25662.0,-0.2268132373028499
402,AMZN,2020-08-20,3260.47998046875,-1339.52001953125,4600.0,0.02,0.01,0.02,-0.030000001,-60.000004,279.0,2644.0,1.2968785156249998,False,0.10552193645990923,5288.0,-0.4108352228982774
