,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
38,ADBE,2020-09-17,527.9500122070312,77.95001220703125,450.0,2.2,2.2,2.28,-0.79999995,-26.666664,1166.0,4914.0,0.5413864221191409,False,0.2372812372812373,1081080.0,0.14764657714689813
7,AMD,2020-09-17,92.18000030517578,32.18000030517578,60.0,0.05,0.04,0.1,0.0,0.0,582.0,9721.0,0.9023447265625,False,0.05987038370538011,48605.0,0.3490995899179761
11,AMD,2020-09-17,92.18000030517578,22.18000030517578,70.0,0.18,0.18,0.22,-0.029999986,-14.285707,468.0,5879.0,0.726565234375,False,0.07960537506378636,105822.0,0.24061618823763883
17,AMD,2020-09-17,92.18000030517578,17.18000030517578,75.0,0.38,0.37,0.39,-0.050000012,-11.62791,351.0,11269.0,0.6562534375000001,False,0.03114739550980566,428222.0,0.18637448739747017
23,AMD,2020-09-17,92.18000030517578,12.180000305175781,80.0,0.84,0.8,0.85,-0.120000005,-12.500002,728.0,5462.0,0.6132851171875001,False,0.1332845111680703,458808.0,0.13213278655730154
26,AMD,2020-09-17,92.18000030517578,9.680000305175781,82.5,1.27,1.22,1.29,-0.13999999,-9.929077,411.0,4745.0,0.6057168334960938,False,0.08661749209694415,602615.0,0.1050119361372172
8,ALXN,2020-09-17,112.68000030517578,27.68000030517578,85.0,0.25,0.0,0.25,0.0,0.0,429.0,1967.0,0.6601596484375001,False,0.2180986273512964,49175.0,0.24565140424395565
16,ALXN,2020-09-17,112.68000030517578,12.680000305175781,100.0,0.85,0.65,1.5,-0.01999998,-2.2988484,235.0,3092.0,0.5568891967773439,False,0.0760025873221216,262820.0,0.1125310638164184
0,ALGN,2020-09-17,305.42999267578125,145.42999267578125,160.0,0.13,0.0,0.25,0.0,0.0,252.0,8.0,1.2109414453124998,False,31.5,104.0,0.47614836840911523
3,GOOG,2020-09-17,1660.7099609375,1060.7099609375,600.0,0.05,0.0,0.6,0.0,0.0,2001.0,2233.0,1.701173369140625,False,0.8961038961038961,11165.0,0.6387087365566896
74,AMZN,2020-09-17,3499.1201171875,1544.1201171875,1955.0,0.4,0.0,0.53,0.0,0.0,348.0,241.0,0.9248054394531251,False,1.4439834024896265,9640.0,0.4412881140041065
268,AMZN,2020-09-17,3499.1201171875,399.1201171875,3100.0,15.15,11.75,12.75,0.18999958,1.2700506,218.0,3274.0,0.42154509124755857,False,0.06658521686010996,4960110.0,0.11406299407300775
7,AAL,2020-09-17,13.100000381469727,4.600000381469727,8.5,0.05,0.0,0.2,0.0,0.0,850.0,850.0,1.3750031249999999,False,1.0,4250.0,0.3511450570624823
10,AAL,2020-09-17,13.100000381469727,3.1000003814697266,10.0,0.13,0.11,0.13,0.019999996,18.181814,409.0,13825.0,0.992187578125,False,0.02958408679927667,179725.0,0.2366412436029203
12,AAL,2020-09-17,13.100000381469727,2.1000003814697266,11.0,0.26,0.24,0.26,0.03999999,18.181814,517.0,18936.0,0.9238288867187501,False,0.027302492606675118,492336.00000000006,0.16030536796321235
13,AAL,2020-09-17,13.100000381469727,1.6000003814697266,11.5,0.37,0.35,0.39,0.030000001,8.823529,417.0,2053.0,0.9160164648437501,False,0.20311738918655625,75961.0,0.12213743014335836
9,AAPL,2020-09-17,134.17999267578125,79.17999267578125,55.0,0.01,0.0,0.01,0.0,0.0,220.0,,1.3125034374999998,False,,,0.5901028245477972
15,AAPL,2020-09-17,134.17999267578125,71.67999267578125,62.5,0.01,0.0,0.01,0.0,0.0,391.0,,1.125004375,False,,,0.5342077551679513
25,AAPL,2020-09-17,134.17999267578125,59.17999267578125,75.0,0.04,0.03,0.05,0.0,0.0,264.0,,1.0625046875000002,False,,,0.4410493062015416
