,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
3,AMD,2020-08-20,84.8499984741211,44.849998474121094,40.0,0.01,0.01,0.01,0.0,0.0,402.0,8319.0,1.3437532812499997,False,0.04832311575910566,8319.0,0.5285798383107828
5,AMD,2020-08-20,84.8499984741211,38.849998474121094,46.0,0.01,0.0,0.02,-0.01,-50.0,216.0,574.0,1.109379453125,False,0.37630662020905925,574.0,0.4578668140574002
9,AMD,2020-08-20,84.8499984741211,34.849998474121094,50.0,0.04,0.02,0.03,0.02,100.0,462.0,19688.0,1.0703171484375003,False,0.023466070702966274,78752.0,0.4107247978884785
15,AMD,2020-08-20,84.8499984741211,29.849998474121094,55.0,0.03,0.02,0.11,-0.01,-25.0,251.0,60718.0,1.0039112304687499,False,0.004133864751803419,182154.0,0.3517972776773263
21,AMD,2020-08-20,84.8499984741211,24.849998474121094,60.0,0.08,0.06,0.1,-0.020000003,-20.000004,1373.0,8811.0,0.8476577734374999,False,0.15582794234479627,70488.0,0.29286975746617416
26,AMD,2020-08-20,84.8499984741211,20.849998474121094,64.0,0.18,0.1,0.2,0.09,100.0,218.0,487.0,0.78711150390625,False,0.44763860369609854,8766.0,0.24572774129725244
27,AMD,2020-08-20,84.8499984741211,19.849998474121094,65.0,0.13,0.09,0.17,-0.040000007,-23.529415,389.0,4417.0,0.7304714453125,False,0.08806882499434004,57421.0,0.23394223725502203
33,AMD,2020-08-20,84.8499984741211,14.849998474121094,70.0,0.25,0.25,0.26,-0.030000001,-10.714286,956.0,5169.0,0.6367223828125,False,0.1849487328303347,129225.0,0.17501471704386987
34,AMD,2020-08-20,84.8499984741211,13.849998474121094,71.0,0.3,0.28,0.37,0.0,0.0,248.0,1555.0,0.6337927246093751,False,0.1594855305466238,46650.0,0.16322921300163945
36,AMD,2020-08-20,84.8499984741211,11.849998474121094,73.0,0.39,0.38,0.58,-0.02000001,-4.8780518,281.0,4291.0,0.6152382226562501,False,0.06548590072244233,167349.0,0.1396582049171786
