,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
39,ABBV,2020-08-20,94.29000091552734,-10.709999084472656,105.0,0.08,0.05,0.09,-0.07000001,-46.66667,383.0,7804.0,0.2802806347656249,False,0.0490773962070733,62432.00000000001,-0.11358573528986965
52,ATVI,2020-08-20,86.44999694824219,-13.550003051757812,100.0,1.18,1.17,1.18,0.25999993,28.260862,4193.0,5070.0,0.684573466796875,False,0.8270216962524655,598260.0,-0.15673803967708907
53,ATVI,2020-08-20,86.44999694824219,-18.550003051757812,105.0,0.75,0.8,0.9,0.06999999,10.294116,576.0,1448.0,0.747072841796875,False,0.39779005524861877,108600.0,-0.2145749416609435
54,ATVI,2020-08-20,86.44999694824219,-23.550003051757812,110.0,0.64,0.6,0.64,0.089999974,16.36363,696.0,0.0,0.7993184130859375,False,inf,0.0,-0.272411843644798
47,AMD,2020-08-20,85.04000091552734,-9.959999084472656,95.0,1.37,1.35,1.4,1.1800001,621.0527,12619.0,3402.0,0.6201209863281252,False,3.7092886537330982,466074.00000000006,-0.11712134262987846
48,AMD,2020-08-20,85.04000091552734,-14.959999084472656,100.0,0.83,0.82,0.93,0.72999996,730.0,19818.0,2025.0,0.6694368994140626,False,9.786666666666667,168075.0,-0.17591720276829312
49,AMD,2020-08-20,85.04000091552734,-19.959999084472656,105.0,0.55,0.54,0.6,0.48000002,685.7143,2236.0,453.0,0.7138700488281251,False,4.93598233995585,24915.000000000004,-0.23471306290670776
50,AMD,2020-08-20,85.04000091552734,-24.959999084472656,110.0,0.35,0.33,0.4,0.31,775.0,904.0,44.0,0.747072841796875,False,20.545454545454547,1539.9999999999998,-0.29350892304512244
51,AMD,2020-08-20,85.04000091552734,-29.959999084472656,115.0,0.26,0.25,0.34,0.22,550.0,3458.0,,0.8095722167968749,False,,,-0.3523047831835371
325,AMZN,2020-08-20,3138.830078125,-361.169921875,3500.0,13.32,11.3,12.35,2.12,18.928572,796.0,1869.0,0.3858551405334472,False,0.42589620117710003,2489508.0,-0.11506513984049342
337,AMZN,2020-08-20,3138.830078125,-561.169921875,3700.0,4.58,4.05,5.1,-0.32000017,-6.530616,225.0,807.0,0.4343013113403321,False,0.2788104089219331,369606.0,-0.17878314783137875
343,AMZN,2020-08-20,3138.830078125,-861.169921875,4000.0,1.64,1.6,2.0,-0.36,-18.0,227.0,1775.0,0.5066577655029296,False,0.12788732394366198,291100.0,-0.2743601598177068
16,AAL,2020-08-20,11.470000267028809,-1.5299997329711914,13.0,0.31,0.3,0.33,0.08,34.782608,2677.0,22679.0,0.8320329296874999,False,0.11803871422902244,703049.0,-0.13339142958603634
17,AAL,2020-08-20,11.470000267028809,-2.0299997329711914,13.5,0.25,0.23,0.27,0.08,47.058823,1460.0,0.0,0.8730481445312499,False,inf,0.0,-0.17698340764703774
18,AAL,2020-08-20,11.470000267028809,-2.5299997329711914,14.0,0.21,0.18,0.2,0.08,61.538464,1002.0,8568.0,0.8945323046874999,False,0.1169467787114846,179928.0,-0.22057538570803914
19,AAL,2020-08-20,11.470000267028809,-3.0299997329711914,14.5,0.15,0.14,0.18,0.030000009,25.00001,477.0,635.0,0.9414068359375,False,0.7511811023622047,9525.0,-0.26416736376904054
20,AAL,2020-08-20,11.470000267028809,-3.5299997329711914,15.0,0.14,0.13,0.14,0.060000002,75.00001,4457.0,27567.0,0.9804689453125001,False,0.16167881887764357,385938.00000000006,-0.30775934183004194
22,AAL,2020-08-20,11.470000267028809,-4.529999732971191,16.0,0.09,0.09,0.1,0.020000003,28.571432,858.0,6755.0,1.0468797656250002,False,0.12701702442635085,60794.99999999999,-0.39494329795204475
26,AAL,2020-08-20,11.470000267028809,-6.529999732971191,18.0,0.06,0.06,0.07,0.02,50.0,251.0,5529.0,1.2109414453124998,False,0.04539699764876108,33174.0,-0.5693112101960504
29,AAL,2020-08-20,11.470000267028809,-8.529999732971191,20.0,0.06,0.03,0.06,0.02,50.0,2541.0,0.0,1.3359408203124996,False,inf,0.0,-0.743679122440056
49,AAL,2020-08-20,11.470000267028809,-28.52999973297119,40.0,0.01,0.0,0.03,0.0,0.0,1069.0,3960.0,2.2187544531249994,False,0.26994949494949494,3960.0,-2.4873582448801117
