,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
13,ATVI,2020-08-20,84.79000091552734,24.790000915527344,60.0,0.12,0.05,0.25,-0.030000009,-20.000004,207.0,1579.0,0.8261736132812498,False,0.1310956301456618,18948.0,0.2923693908226816
15,ATVI,2020-08-20,84.79000091552734,19.790000915527344,65.0,0.22,0.1,0.27,-0.06999999,-24.13793,376.0,4528.0,0.68555001953125,False,0.08303886925795052,99616.0,0.2334001733912384
26,ATVI,2020-08-20,84.79000091552734,9.790000915527344,75.0,1.08,1.03,1.19,-0.26999998,-19.999998,242.0,1664.0,0.6181678808593751,False,0.14543269230769232,179712.0,0.11546173852835198
27,ATVI,2020-08-20,84.79000091552734,9.290000915527344,75.5,1.4,1.07,1.24,-0.120000005,-7.8947372,1019.0,150.0,0.6057168334960938,False,6.793333333333333,21000.0,0.10956481678520767
15,AMD,2020-08-20,77.66999816894531,22.669998168945312,55.0,0.07,0.07,0.11,-0.030000001,-30.000002,490.0,60853.0,0.7695335546875001,False,0.00805219134635926,425971.0,0.291875868461259
21,AMD,2020-08-20,77.66999816894531,17.669998168945312,60.0,0.13,0.12,0.13,-0.050000012,-27.777782,516.0,9504.0,0.632816171875,False,0.054292929292929296,123552.0,0.22750094741228258
24,AMD,2020-08-20,77.66999816894531,15.169998168945312,62.5,0.23,0.15,0.23,-0.029999986,-11.538456,303.0,2210.0,0.5937540625000001,False,0.13710407239819006,50830.0,0.19531348688779437
25,AMD,2020-08-20,77.66999816894531,14.669998168945312,63.0,0.23,0.17,0.26,-0.07000001,-23.333336,233.0,458.0,0.5908244042968751,False,0.5087336244541485,10534.0,0.1888759947828967
27,AMD,2020-08-20,77.66999816894531,12.669998168945312,65.0,0.31,0.3,0.34,-0.099999994,-24.390244,675.0,5917.0,0.56836369140625,False,0.11407808010816292,183427.0,0.16312602636330614
31,AMD,2020-08-20,77.66999816894531,9.669998168945312,68.0,0.54,0.51,0.55,-0.19,-26.027397,409.0,1074.0,0.523442265625,False,0.3808193668528864,57996.0,0.12450107373392026
5,AKAM,2020-08-20,112.9800033569336,47.980003356933594,65.0,0.77,0.0,0.0,0.0,0.0,227.0,206.0,0.500005,False,1.1019417475728155,15862.0,0.4246769510649785
1,ALB,2020-08-20,83.33000183105469,38.33000183105469,45.0,0.05,0.0,0.1,0.0,0.0,540.0,540.0,1.1796916015624999,False,1.0,2700.0,0.4599784110021488
105,AMZN,2020-08-20,3111.889892578125,1011.889892578125,2100.0,0.23,0.05,0.68,0.08,53.33333,483.0,711.0,0.6508823974609376,False,0.679324894514768,16353.0,0.3251689254788507
185,AMZN,2020-08-20,3111.889892578125,611.889892578125,2500.0,1.12,0.93,1.2,-0.13,-10.4,234.0,1303.0,0.4408014904785156,False,0.17958557175748274,145936.0,0.19662967318910796
