,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
23,MMM,2020-09-17,163.52999877929688,-16.470001220703125,180.0,0.2,0.0,0.0,0.0,0.0,253.0,0.0,0.062509375,False,inf,0.0,-0.10071547326879972
26,ABBV,2020-09-17,94.51000213623047,-10.489997863769531,105.0,0.1,0.0,0.0,0.0,0.0,467.0,0.0,0.12500875,False,inf,0.0,-0.1109935205445116
16,ATVI,2020-09-17,83.0999984741211,-16.900001525878906,100.0,0.14,0.0,0.0,0.0,0.0,785.0,0.0,0.12500875,False,inf,0.0,-0.2033694565125881
20,AMD,2020-09-17,83.08000183105469,-9.419998168945312,92.5,1.13,0.0,0.0,0.0,0.0,747.0,0.0,0.12500875,False,inf,0.0,-0.11338466491733017
21,AMD,2020-09-17,83.08000183105469,-11.919998168945312,95.0,0.79,0.0,0.0,0.0,0.0,1213.0,0.0,0.12500875,False,inf,0.0,-0.14347614234752828
22,AMD,2020-09-17,83.08000183105469,-16.919998168945312,100.0,0.42,0.0,0.0,0.0,0.0,2994.0,0.0,0.12500875,False,inf,0.0,-0.2036590972079245
23,AMD,2020-09-17,83.08000183105469,-21.919998168945312,105.0,0.24,0.0,0.0,0.0,0.0,278.0,0.0,0.2500075,False,inf,0.0,-0.26384205206832073
25,AMD,2020-09-17,83.08000183105469,-31.919998168945312,115.0,0.1,0.0,0.0,0.0,0.0,309.0,0.0,0.2500075,False,inf,0.0,-0.3842079617891132
8,ALK,2020-09-17,37.52000045776367,-4.979999542236328,42.5,0.55,0.0,0.0,0.0,0.0,549.0,0.0,0.12500875,False,inf,0.0,-0.13272919726752994
12,ALXN,2020-09-17,102.43000030517578,-17.56999969482422,120.0,0.39,0.0,0.0,0.0,0.0,296.0,0.0,0.12500875,False,inf,0.0,-0.17153177430905864
308,AMZN,2020-09-17,3307.4599609375,-372.5400390625,3680.0,30.39,0.0,0.0,0.0,0.0,322.0,0.0,0.062509375,False,inf,0.0,-0.1126362959680103
309,AMZN,2020-09-17,3307.4599609375,-392.5400390625,3700.0,28.72,0.0,0.0,0.0,0.0,476.0,0.0,0.062509375,False,inf,0.0,-0.11868323235914079
315,AMZN,2020-09-17,3307.4599609375,-692.5400390625,4000.0,12.05,0.0,0.0,0.0,0.0,2787.0,0.0,0.12500875,False,inf,0.0,-0.20938727822609815
335,AMZN,2020-09-17,3307.4599609375,-1692.5400390625,5000.0,2.4,0.0,0.0,0.0,0.0,1936.0,0.0,0.2500075,False,inf,0.0,-0.5117340977826227
12,AAL,2020-09-17,13.4399995803833,-1.5600004196166992,15.0,0.64,0.0,0.0,0.0,0.0,22659.0,0.0,0.12500875,False,inf,0.0,-0.11607146341683211
13,AAL,2020-09-17,13.4399995803833,-2.560000419616699,16.0,0.44,0.0,0.0,0.0,0.0,3372.0,0.0,0.12500875,False,inf,0.0,-0.1904762276446209
14,AAL,2020-09-17,13.4399995803833,-3.560000419616699,17.0,0.31,0.0,0.0,0.0,0.0,597.0,0.0,0.2500075,False,inf,0.0,-0.2648809918724097
15,AAL,2020-09-17,13.4399995803833,-4.560000419616699,18.0,0.23,0.0,0.0,0.0,0.0,920.0,0.0,0.2500075,False,inf,0.0,-0.3392857561001985
16,AAL,2020-09-17,13.4399995803833,-5.560000419616699,19.0,0.18,0.0,0.0,0.0,0.0,694.0,0.0,0.2500075,False,inf,0.0,-0.41369052032798737
17,AAL,2020-09-17,13.4399995803833,-6.560000419616699,20.0,0.15,0.0,0.0,0.0,0.0,2628.0,0.0,0.500005,False,inf,0.0,-0.48809528455577617
