Init_or_Mature,Op Type,Date,Participating Counterparties,Tsy-Submit
Mature,RRP,08/10/20,0,0
Init,RP,08/11/20,0,0
Init,RRP,08/11/20,0,0
Init,RP,08/11/20,0,0
Mature,RP,08/11/20,0,0
Mature,RRP,08/11/20,8,8
Mature,RP,08/11/20,0,0
Init,RP,08/12/20,0,0
Init,RRP,08/12/20,4,103
Mature,RP,08/12/20,0,0
Mature,RRP,08/12/20,0,0
Init,RP,08/13/20,0,0
Init,RRP,08/13/20,23,126
Mature,RP,08/13/20,0,0
Mature,RRP,08/13/20,4,103
Mature,RP,08/14/20,0,0
Mature,RRP,08/14/20,23,126
Mature,RP,08/18/20,0,0
Mature,RP,08/25/20,0,0
Mature,RP,09/01/20,0,0
Mature,RP,09/08/20,0,0
