,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
3,AMD,2020-09-17,83.80999755859375,33.80999755859375,50.0,0.04,0.03,0.05,0.0,0.0,677.0,7512.0,0.7812521875,False,0.09012247071352503,30048.0,0.40341246323216157
5,AMD,2020-09-17,83.80999755859375,28.80999755859375,55.0,0.07,0.05,0.09,-0.04,-36.363636,1068.0,2820.0,0.70117486328125,False,0.37872340425531914,19740.0,0.3437537095553777
9,AMD,2020-09-17,83.80999755859375,18.80999755859375,65.0,0.28,0.28,0.31,-0.120000005,-30.000002,572.0,4640.0,0.5835002587890624,False,0.12327586206896551,129920.0,0.22443620220181001
10,AMD,2020-09-17,83.80999755859375,16.30999755859375,67.5,0.43,0.41,0.44,-0.110000014,-20.37037,333.0,3384.0,0.5581098876953126,False,0.09840425531914894,145512.0,0.19460682536341808
11,AMD,2020-09-17,83.80999755859375,13.80999755859375,70.0,0.62,0.6,0.62,-0.17000002,-21.51899,665.0,5274.0,0.5336960693359375,False,0.1260902540766022,326988.0,0.16477744852502615
12,AMD,2020-09-17,83.80999755859375,11.30999755859375,72.5,0.91,0.9,0.93,-0.21999997,-19.469025,635.0,3063.0,0.5185595019531251,False,0.20731309174012405,278733.0,0.13494807168663425
13,AMD,2020-09-17,83.80999755859375,8.80999755859375,75.0,1.36,1.32,1.38,-0.25,-15.52795,946.0,10196.0,0.50586431640625,False,0.09278148293448411,1386656.0000000002,0.10511869484824232
17,AAP,2020-09-17,156.11000061035156,26.110000610351562,130.0,0.4,0.35,0.65,0.13,48.148144,415.0,196.0,0.46655806884765627,False,2.11734693877551,7840.000000000001,0.16725386271390627
8,ALXN,2020-09-17,100.51000213623047,15.510002136230469,85.0,0.5,0.5,0.75,-0.050000012,-9.090911,202.0,809.0,0.5097705273437501,False,0.24969097651421507,40450.0,0.15431302165538047
3,GOOG,2020-09-17,1580.4200439453125,980.4200439453125,600.0,0.05,0.0,0.6,0.0,0.0,2001.0,2233.0,1.2695349023437497,False,0.8961038961038961,11165.0,0.6203540936483074
33,AMZN,2020-09-17,3284.719970703125,1764.719970703125,1520.0,0.22,0.0,0.52,0.0,0.0,208.0,310.0,0.9418951123046875,False,0.6709677419354839,6820.0,0.5372512684316801
74,AMZN,2020-09-17,3284.719970703125,1329.719970703125,1955.0,0.4,0.0,1.03,0.0,0.0,348.0,241.0,0.6940948559570312,False,1.4439834024896265,9640.0,0.4048198880157464
231,AMZN,2020-09-17,3284.719970703125,424.719970703125,2860.0,16.37,15.6,16.8,2.5700006,18.623192,560.0,1672.0,0.39763480789184574,False,0.3349282296650718,2737064.0000000005,0.1293017287596086
233,AMZN,2020-09-17,3284.719970703125,384.719970703125,2900.0,19.61,18.55,20.1,1.9000015,10.728412,602.0,2878.0,0.3874420387268066,False,0.20917303683113272,5643758.0,0.1171241305604423
5,AAL,2020-09-17,12.15999984741211,4.159999847412109,8.0,0.08,0.07,0.09,0.009999998,14.285712,612.0,1077.0,1.0078174609375,False,0.5682451253481894,8616.0,0.3421052549024037
6,AAL,2020-09-17,12.15999984741211,3.1599998474121094,9.0,0.16,0.15,0.17,0.00999999,6.6666603,1370.0,3453.0,0.929688203125,False,0.3967564436721691,55248.0,0.25986841176520414
7,AAL,2020-09-17,12.15999984741211,2.1599998474121094,10.0,0.31,0.29,0.31,0.03999999,14.814811,774.0,14341.0,0.85742330078125,False,0.05397113172024266,444571.0,0.17763156862800458
7,AXP,2020-09-17,96.1500015258789,11.150001525878906,85.0,0.51,0.48,0.53,-0.030000031,-5.555561,438.0,3007.0,0.37280900634765624,False,0.14566012637179915,153357.0,0.11596465261498584
37,AAPL,2020-09-17,497.4800109863281,217.48001098632812,280.0,0.24,0.2,0.25,0.0,0.0,414.0,10152.0,0.85742330078125,False,0.040780141843971635,243648.0,0.4371633154770212
41,AAPL,2020-09-17,497.4800109863281,197.48001098632812,300.0,0.32,0.3,0.34,0.00999999,3.2258034,365.0,9051.0,0.7973653076171875,False,0.04032703568666446,289632.0,0.39696069515395127
47,AAPL,2020-09-17,497.4800109863281,167.48001098632812,330.0,0.48,0.45,0.5,0.0,0.0,324.0,3404.0,0.6982452050781252,False,0.09518213866039953,163391.99999999997,0.3366567646693464
48,AAPL,2020-09-17,497.4800109863281,162.48001098632812,335.0,0.58,0.21,0.61,0.029999971,5.4545403,301.0,1423.0,0.6616244775390626,False,0.21152494729444835,82533.99999999999,0.3266061095885789
49,AAPL,2020-09-17,497.4800109863281,157.48001098632812,340.0,0.62,0.05,0.58,0.06999999,12.727271,340.0,4189.0,0.6167030517578126,False,0.08116495583671521,259717.99999999997,0.3165554545078114
50,AAPL,2020-09-17,497.4800109863281,152.48001098632812,345.0,0.7,0.25,0.7,0.00999999,1.449274,246.0,2342.0,0.6311072045898438,False,0.10503842869342442,163940.0,0.30650479942704395
51,AAPL,2020-09-17,497.4800109863281,147.48001098632812,350.0,0.68,0.66,0.72,-0.01999998,-2.8571403,961.0,9840.0,0.6455113574218749,False,0.09766260162601625,669120.0000000001,0.2964541443462765
54,AAPL,2020-09-17,497.4800109863281,132.48001098632812,365.0,0.91,0.73,0.92,0.02000004,2.2471957,425.0,2479.0,0.5959513061523438,False,0.17144009681323114,225589.0,0.266302179103974
55,AAPL,2020-09-17,497.4800109863281,127.48001098632812,370.0,0.96,0.93,1.01,0.029999971,3.2258034,240.0,5658.0,0.5900919897460939,False,0.042417815482502653,543167.9999999999,0.25625152402320656
56,AAPL,2020-09-17,497.4800109863281,122.48001098632812,375.0,1.04,0.9,1.1,-0.01999998,-1.8867908,1250.0,3143.0,0.5705609350585938,False,0.39770919503658925,326872.0,0.2462008689424391
57,AAPL,2020-09-17,497.4800109863281,117.48001098632812,380.0,1.15,1.1,1.18,-0.05000007,-4.166672,1004.0,4018.0,0.561527822265625,False,0.2498755599800896,462070.0,0.2361502138616716
58,AAPL,2020-09-17,497.4800109863281,112.48001098632812,385.0,1.25,1.11,1.31,-0.07000005,-5.3030343,276.0,4701.0,0.5449264257812501,False,0.058710912571793235,587625.0,0.22609955878090413
59,AAPL,2020-09-17,497.4800109863281,107.48001098632812,390.0,1.4,1.24,1.43,-0.07000005,-4.761908,1949.0,4826.0,0.5323533093261719,False,0.4038541234977207,675640.0,0.21604890370013666
60,AAPL,2020-09-17,497.4800109863281,102.48001098632812,395.0,1.54,1.4,1.58,-0.13,-7.7844305,501.0,2579.0,0.5211229528808592,False,0.19426134160527336,397166.00000000006,0.20599824861936916
61,AAPL,2020-09-17,497.4800109863281,97.48001098632812,400.0,1.67,1.6,1.75,-0.25,-13.020834,3848.0,12665.0,0.5106250109863282,False,0.3038294512435847,2115055.0,0.1959475935386017
62,AAPL,2020-09-17,497.4800109863281,92.48001098632812,405.0,1.87,1.8,1.98,-0.32000005,-14.611875,470.0,1409.0,0.5004932763671875,False,0.33356990773598294,263483.0,0.1858969384578342
63,AAPL,2020-09-17,497.4800109863281,87.48001098632812,410.0,2.17,2.04,2.21,-0.30999994,-12.499998,689.0,3643.0,0.4947560290527344,False,0.18912983804556685,790531.0,0.17584628337706673
64,AAPL,2020-09-17,497.4800109863281,82.48001098632812,415.0,2.42,2.34,2.57,-0.47000003,-16.262978,774.0,1654.0,0.48871360900878913,False,0.46795646916565903,400268.0,0.16579562829629926
65,AAPL,2020-09-17,497.4800109863281,77.48001098632812,420.0,2.78,2.7,2.91,-0.55999994,-16.766466,2390.0,6476.0,0.47949739257812496,False,0.36905497220506484,1800328.0,0.15574497321553177
66,AAPL,2020-09-17,497.4800109863281,72.48001098632812,425.0,3.2,3.1,3.35,-0.72,-18.367348,1950.0,4193.0,0.4725394543457031,False,0.4650608156451228,1341760.0,0.1456943181347643
67,AAPL,2020-09-17,497.4800109863281,67.48001098632812,430.0,3.55,3.55,3.75,-1.1000001,-23.655916,2029.0,2862.0,0.4619804779052735,False,0.7089447938504543,1016010.0,0.1356436630539968
68,AAPL,2020-09-17,497.4800109863281,62.480010986328125,435.0,4.2,4.15,4.4,-1.25,-22.935781,818.0,2738.0,0.45831840515136724,False,0.2987582176771366,1149960.0,0.12559300797322934
69,AAPL,2020-09-17,497.4800109863281,57.480010986328125,440.0,4.78,4.75,5.05,-1.77,-27.022898,2495.0,3268.0,0.4518487432861329,False,0.7634638922888617,1562104.0,0.11554235289246186
70,AAPL,2020-09-17,497.4800109863281,52.480010986328125,445.0,5.7,5.5,5.8,-1.8800001,-24.802113,2099.0,2717.0,0.4459283923339844,False,0.7725432462274567,1548690.0,0.10549169781169437
4,T,2020-09-17,29.690000534057617,10.690000534057617,19.0,0.01,0.0,0.03,0.0,0.0,5245.0,11614.0,0.6875031250000001,False,0.4516101257103496,11614.0,0.360053901709939
9,T,2020-09-17,29.690000534057617,5.690000534057617,24.0,0.02,0.02,0.05,-0.030000001,-60.000004,629.0,4098.0,0.4335994140625,False,0.15348950707662273,8196.0,0.1916470337388703
10,T,2020-09-17,29.690000534057617,4.690000534057617,25.0,0.04,0.03,0.05,-0.010000002,-20.000004,415.0,5818.0,0.3632876171875,False,0.0713303540735648,23272.0,0.15796566014465654
11,T,2020-09-17,29.690000534057617,3.690000534057617,26.0,0.05,0.05,0.07,-0.02,-28.571426,3409.0,3390.0,0.31836619140624994,False,1.005604719764012,16950.0,0.12428428655044282
11,BAC,2020-09-17,24.979999542236328,4.979999542236328,20.0,0.05,0.05,0.06,0.0,0.0,289.0,33413.0,0.48438015625,False,0.008649328105827074,167065.0,0.19935947291816863
12,BAC,2020-09-17,24.979999542236328,3.979999542236328,21.0,0.08,0.08,0.09,0.0,0.0,3387.0,35393.0,0.43164630859375,False,0.09569688921538157,283144.0,0.15932744656407707
13,BAC,2020-09-17,24.979999542236328,2.979999542236328,22.0,0.16,0.15,0.18,0.0,0.0,811.0,29986.0,0.41309180664062495,False,0.02704595477889682,479776.0,0.1192954202099855
33,BLK,2020-09-17,584.0399780273438,104.03997802734375,480.0,2.9,0.35,2.45,0.0,0.0,228.0,972.0,0.4935353381347657,False,0.2345679012345679,281880.0,0.1781384527455632
15,BA,2020-09-17,167.5,42.5,125.0,0.28,0.26,0.3,0.0,0.0,360.0,3453.0,0.56836369140625,False,0.10425716768027801,96684.00000000001,0.2537313432835821
17,BA,2020-09-17,167.5,32.5,135.0,0.68,0.64,0.86,-0.23000002,-25.274727,374.0,3394.0,0.5400436621093752,False,0.11019446081319977,230792.0,0.19402985074626866
18,BA,2020-09-17,167.5,27.5,140.0,1.08,1.05,1.13,0.05000007,4.854376,246.0,2626.0,0.5153857055664062,False,0.09367859862909368,283608.00000000006,0.16417910447761194
19,BA,2020-09-17,167.5,22.5,145.0,1.75,1.66,1.77,0.110000014,6.7073183,224.0,2641.0,0.505742247314453,False,0.0848163574403635,462175.0,0.13432835820895522
20,BA,2020-09-17,167.5,17.5,150.0,2.7,2.64,2.8,0.1500001,5.8823566,924.0,4394.0,0.5054981091308592,False,0.21028675466545288,1186380.0,0.1044776119402985
22,AVGO,2020-09-17,330.0199890136719,130.01998901367188,200.0,0.3,0.0,2.35,0.0,0.0,438.0,0.0,1.0324755407714847,False,inf,0.0,0.3939761024847664
2,COG,2020-09-17,19.520000457763672,2.520000457763672,17.0,0.1,0.05,0.15,0.0,0.0,300.0,673.0,0.44727115234375,False,0.4457652303120357,6730.0,0.12909838107925833
4,CCL,2020-09-17,14.649999618530273,2.1499996185302734,12.5,0.43,0.41,0.44,-0.089999974,-17.307688,422.0,19911.0,0.8085956640624999,False,0.021194314700416855,856173.0,0.14675765696340456
6,CBRE,2020-09-17,44.90999984741211,4.909999847412109,40.0,0.37,0.3,0.5,-0.13,-26.0,292.0,1035.0,0.44922425781249997,False,0.2821256038647343,38295.0,0.10932976762624155
1,CE,2020-09-17,99.80999755859375,67.30999755859375,32.5,0.05,0.0,0.05,0.0,0.0,440.0,440.0,1.5000025,False,1.0,2200.0,0.6743813165517735
3,CTL,2020-09-17,11.010000228881836,2.010000228881836,9.0,0.04,0.02,0.09,-0.010000002,-20.000004,1622.0,940.0,0.5273484765625001,False,1.725531914893617,3760.0,0.18256132489526472
18,CVX,2020-09-17,85.08000183105469,10.080001831054688,75.0,0.58,0.5,0.6,-0.04000002,-6.4516163,218.0,2667.0,0.40820904296875,False,0.0817397825271841,154686.0,0.11847674675737288
11,CSCO,2020-09-17,42.25,4.75,37.5,0.12,0.11,0.13,0.0,0.0,600.0,13691.0,0.31055376953124997,False,0.04382441019647944,164291.99999999997,0.11242603550295859
4,C,2020-09-17,49.29999923706055,19.299999237060547,30.0,0.03,0.0,0.05,-0.020000001,-40.000004,214.0,4221.0,0.7578149218750001,False,0.05069888651978204,12663.0,0.3914807208060169
9,C,2020-09-17,49.29999923706055,6.799999237060547,42.5,0.29,0.23,0.29,0.00999999,3.571425,312.0,12146.0,0.43555251953125,False,0.02568746912563807,352233.99999999994,0.1379310211418573
3,CMCSA,2020-09-17,43.06999969482422,8.069999694824219,35.0,0.08,0.04,0.11,0.0,0.0,280.0,3758.0,0.46289599609375004,False,0.0745077168706759,30064.0,0.18736939289539864
4,CMCSA,2020-09-17,43.06999969482422,5.569999694824219,37.5,0.12,0.11,0.21,-0.009999998,-7.6923065,900.0,8030.0,0.39258419921875,False,0.11207970112079702,96359.99999999999,0.12932434953078425
11,CTVA,2020-09-17,28.440000534057617,3.440000534057617,25.0,0.22,0.15,0.25,0.019999996,9.999998,600.0,11272.0,0.445318046875,False,0.053229240596167494,247984.0,0.1209564159444417
6,COST,2020-09-17,344.6099853515625,134.6099853515625,210.0,0.08,0.0,0.07,0.0,0.0,800.0,802.0,0.6367223828125,False,0.9975062344139651,6416.0,0.3906154524635633
9,COST,2020-09-17,344.6099853515625,119.6099853515625,225.0,0.13,0.0,0.34,0.0,0.0,809.0,810.0,0.6601596484375001,False,0.9987654320987654,10530.0,0.3470879847823892
11,COST,2020-09-17,344.6099853515625,109.6099853515625,235.0,0.23,0.02,0.28,0.0,0.0,800.0,800.0,0.5898478515625001,False,1.0,18400.0,0.3180696729949399
5,CCI,2020-09-17,163.1699981689453,18.169998168945312,145.0,0.4,0.35,0.55,-0.20000002,-33.333336,292.0,587.0,0.31592480957031244,False,0.49744463373083475,23480.0,0.11135624424124953
20,DE,2020-09-17,199.5,39.5,160.0,0.25,0.0,0.78,-1.8499999,-88.09524,235.0,323.0,0.5327195166015625,False,0.7275541795665634,8075.0,0.19799498746867167
22,DE,2020-09-17,199.5,29.5,170.0,0.64,0.31,0.98,-0.70000005,-52.23881,443.0,687.0,0.43848217773437503,False,0.6448326055312955,43968.0,0.14786967418546365
23,DE,2020-09-17,199.5,24.5,175.0,0.64,0.4,0.81,-1.34,-67.67677,213.0,453.0,0.35864899169921877,False,0.47019867549668876,28992.0,0.12280701754385964
0,DAL,2020-09-17,27.270000457763672,24.270000457763672,3.0,0.02,0.0,0.03,0.0,0.0,234.0,318.0,3.1875020312499998,False,0.7358490566037735,636.0,0.8899890007465727
4,DAL,2020-09-17,27.270000457763672,16.270000457763672,11.0,0.04,0.0,0.04,0.0,0.0,250.0,659.0,1.3906280468749999,False,0.37936267071320184,2636.0,0.5966263360707668
15,DAL,2020-09-17,27.270000457763672,5.270000457763672,22.0,0.26,0.25,0.28,-0.01000002,-3.7037113,324.0,4933.0,0.6611362011718751,False,0.06568011352118386,128258.00000000001,0.19325267214153352
17,DAL,2020-09-17,27.270000457763672,3.270000457763672,24.0,0.55,0.53,0.56,0.02000004,3.7735927,907.0,2866.0,0.6025430371093752,False,0.3164689462665736,157630.00000000003,0.11991200597258202
6,DVN,2020-09-17,10.4399995803833,1.6999995803833006,8.74,0.19,0.15,0.2,0.07,58.333336,12011.0,59.0,0.69336244140625,False,203.57627118644066,1121.0,0.16283521539383872
6,DD,2020-09-17,55.13999938964844,10.139999389648438,45.0,0.1,0.04,0.12,0.040000003,66.66667,1254.0,214.0,0.43945873046875,False,5.859813084112149,2140.0,0.18389552959538197
1,EBAY,2020-09-17,58.20500183105469,13.205001831054688,45.0,0.06,0.04,0.09,0.02,50.0,1058.0,566.0,0.5019581054687501,False,1.8692579505300353,3396.0,0.22687056808937842
10,EL,2020-09-17,207.00999450683594,27.009994506835938,180.0,0.63,0.25,0.95,-0.47000003,-42.727272,452.0,646.0,0.38892212646484375,False,0.6996904024767802,40698.0,0.1304767654874944
36,FB,2020-09-17,267.010009765625,82.010009765625,185.0,0.32,0.3,0.37,-0.04000002,-11.111116,632.0,5590.0,0.659183095703125,False,0.11305903398926655,178880.0,0.3071420799452853
38,FB,2020-09-17,267.010009765625,72.010009765625,195.0,0.43,0.39,0.53,-0.049999982,-10.416663,251.0,7356.0,0.6074258007812501,False,0.034121805328983144,316308.0,0.2696903004828683
40,FB,2020-09-17,267.010009765625,62.010009765625,205.0,0.58,0.52,0.65,-0.02000004,-3.33334,2638.0,8340.0,0.5478560839843751,False,0.31630695443645085,483720.0,0.23223852102045126
41,FB,2020-09-17,267.010009765625,57.010009765625,210.0,0.7,0.62,0.76,0.01999998,2.9411738,385.0,5451.0,0.5224657128906249,False,0.0706292423408549,381570.0,0.21351263128924275
42,FB,2020-09-17,267.010009765625,52.010009765625,215.0,0.84,0.78,0.86,0.06999999,9.090909,294.0,11286.0,0.5029346582031251,False,0.026049973418394472,948024.0,0.19478674155803424
43,FB,2020-09-17,267.010009765625,47.010009765625,220.0,0.97,0.94,1.0,0.07000005,7.777784,458.0,7467.0,0.47559118164062497,False,0.061336547475559125,724299.0,0.17606085182682576
44,FB,2020-09-17,267.010009765625,42.010009765625,225.0,1.17,1.15,1.24,0.13,12.5,952.0,2808.0,0.45508357421875,False,0.33903133903133903,328535.99999999994,0.15733496209561726
45,FB,2020-09-17,267.010009765625,37.010009765625,230.0,1.46,1.42,1.48,0.19000006,14.960634,433.0,7108.0,0.42981527221679694,False,0.06091727630838492,1037768.0,0.13860907236440875
46,FB,2020-09-17,267.010009765625,32.010009765625,235.0,1.78,1.8,2.0,0.20999992,13.375791,1364.0,4306.0,0.4195614685058594,False,0.3167673014398514,766468.0,0.11988318263320023
47,FB,2020-09-17,267.010009765625,27.010009765625,240.0,2.35,2.32,2.4,0.30999994,15.196076,640.0,6070.0,0.3939269592285156,False,0.10543657331136738,1426450.0,0.10115729290199173
13,FDX,2020-09-17,210.49000549316406,55.49000549316406,155.0,0.24,0.21,0.3,-0.040000007,-14.285716,361.0,745.0,0.5600629931640625,False,0.48456375838926175,17880.0,0.2636229941804347
9,FTNT,2020-09-17,131.7100067138672,41.71000671386719,90.0,0.45,0.0,0.8,0.0,0.0,250.0,320.0,0.7929708203125,False,0.78125,14400.0,0.31668062096815397
4,FOXA,2020-09-17,26.0,4.0,22.0,0.16,0.1,0.2,-0.040000007,-20.000004,985.0,4554.0,0.5136767382812499,False,0.2162933684672815,72864.0,0.15384615384615385
8,GPS,2020-09-17,14.430000305175781,5.430000305175781,9.0,0.06,0.0,0.15,0.0,0.0,246.0,899.0,1.05859845703125,False,0.27363737486095663,5394.0,0.37629938948983516
4,GE,2020-09-17,6.309999942779541,1.309999942779541,5.0,0.04,0.03,0.04,0.01,33.333336,1253.0,42274.0,0.6015664843750002,False,0.02963996782892558,169096.0,0.2076069658730439
14,GM,2020-09-17,28.559999465942383,7.559999465942383,21.0,0.04,0.0,0.06,0.0,0.0,497.0,1044.0,0.5507857421875001,False,0.4760536398467433,4176.0,0.2647058686033112
3,HBI,2020-09-17,15.680000305175781,2.6800003051757812,13.0,0.15,0.1,0.15,0.060000002,66.66667,12918.0,522.0,0.5644574804687501,False,24.74712643678161,7830.0,0.17091838348313967
1,HPE,2020-09-17,9.329999923706055,1.3299999237060547,8.0,0.12,0.05,0.15,-0.009999998,-7.6923065,232.0,348.0,0.5351608984375,False,0.6666666666666666,4176.0,0.14255090402806275
33,HD,2020-09-17,283.2300109863281,38.230010986328125,245.0,0.64,0.59,0.67,-0.15000004,-18.987347,210.0,988.0,0.340826904296875,False,0.2125506072874494,63232.00000000001,0.13497867282211679
7,HPQ,2020-09-17,18.229999542236328,2.229999542236328,16.0,0.28,0.25,0.3,0.00999999,3.7037,516.0,1247.0,0.5449264257812501,False,0.41379310344827586,34916.0,0.12232581449438519
7,INTC,2020-09-17,49.279998779296875,9.279998779296875,40.0,0.08,0.05,0.08,0.0,0.0,292.0,25281.0,0.42578699218750005,False,0.011550176021518137,202248.0,0.18831166820555026
