,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
17,ABT,2020-08-20,102.5199966430664,22.519996643066406,80.0,0.08,0.05,0.13,-0.020000003,-20.000004,251.0,2284.0,0.5195360546875,0.0,0.10989492119089317,18272.0,0.2196644301645075
4,AMD,2020-08-20,76.08999633789062,31.089996337890625,45.0,0.03,0.04,0.05,-0.03,-50.0,262.0,6671.0,0.8984385156249999,0.0,0.03927447159346425,20013.0,0.4085950563045132
9,AMD,2020-08-20,76.08999633789062,26.089996337890625,50.0,0.07,0.06,0.11,-0.089999996,-56.25,1596.0,21249.0,0.804689453125,0.0,0.07510941691373711,148743.0,0.3428833958939036
12,AMD,2020-08-20,76.08999633789062,23.589996337890625,52.5,0.08,0.07,0.13,-0.17999999,-69.230774,465.0,13408.0,0.7402369726562499,0.0,0.03468078758949881,107264.00000000001,0.31002756568859874
13,AMD,2020-08-20,76.08999633789062,23.089996337890625,53.0,0.11,0.1,0.12,-0.16000001,-59.25926,344.0,1051.0,0.73437765625,0.0,0.3273073263558516,11561.0,0.3034563996475378
15,AMD,2020-08-20,76.08999633789062,21.089996337890625,55.0,0.12,0.1,0.16,-0.29,-70.731705,2847.0,61585.0,0.6875031250000001,0.0,0.0462287894779573,739020.0,0.27717173548329394
16,AMD,2020-08-20,76.08999633789062,20.089996337890625,56.0,0.15,0.14,0.17,-0.35999998,-70.588234,407.0,1276.0,0.6757844921875001,0.0,0.31896551724137934,19140.0,0.26402940340117204
17,AMD,2020-08-20,76.08999633789062,19.089996337890625,57.0,0.18,0.15,0.21,-0.45,-71.428566,243.0,1591.0,0.6601596484375001,0.0,0.15273412947831552,28638.0,0.2508870713190501
18,AMD,2020-08-20,76.08999633789062,18.589996337890625,57.5,0.19,0.19,0.21,-0.45999998,-70.76923,1599.0,6100.0,0.657229990234375,0.0,0.2621311475409836,115900.0,0.24431590527798913
19,AMD,2020-08-20,76.08999633789062,18.089996337890625,58.0,0.21,0.17,0.22,-0.54,-72.0,465.0,1017.0,0.6367223828125,0.0,0.45722713864306785,21357.0,0.23774473923692815
20,AMD,2020-08-20,76.08999633789062,17.089996337890625,59.0,0.23,0.22,0.25,-0.71999997,-75.78947,262.0,1961.0,0.6269568554687501,0.0,0.13360530341662416,45103.0,0.22460240715480623
21,AMD,2020-08-20,76.08999633789062,16.089996337890625,60.0,0.27,0.26,0.29,-0.87,-76.31579,8580.0,10387.0,0.6132851171875001,0.0,0.8260325406758448,280449.0,0.2114600750726843
22,AMD,2020-08-20,76.08999633789062,15.089996337890625,61.0,0.32,0.29,0.35,-1.0799999,-77.14285,711.0,1346.0,0.5986368261718751,0.0,0.5282317979197623,43072.0,0.19831774299056237
23,AMD,2020-08-20,76.08999633789062,13.589996337890625,62.5,0.39,0.37,0.42,-1.46,-78.91892,900.0,2479.0,0.5751995605468749,0.0,0.36304961678096004,96681.0,0.17860424486737947
24,AMD,2020-08-20,76.08999633789062,11.089996337890625,65.0,0.62,0.58,0.65,-2.1,-77.20588,5318.0,4618.0,0.5507857421875001,0.0,1.151580770896492,286316.0,0.14574841466207467
25,AMD,2020-08-20,76.08999633789062,8.589996337890625,67.5,0.99,0.94,1.01,-3.01,-75.25,936.0,1359.0,0.534184345703125,0.0,0.6887417218543046,134541.0,0.11289258445676983
