,Symbol,Exp_Date,stock_price,Distance OTM,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,V/OI,Value,Pct_OTM
42,ABBV,2020-08-20,96.04000091552734,-13.959999084472656,110.0,0.15,0.15,0.2,-0.019999996,-11.764703,785.0,10808.0,0.344733115234375,False,0.07263138415988157,162120.0,-0.14535609070590566
44,ATVI,2020-08-20,81.69999694824219,-8.300003051757812,90.0,1.09,1.07,1.09,0.36,49.315067,1554.0,7967.0,0.46680220703125,False,0.19505460022593196,868403.0000000001,-0.10159122841847781
46,ATVI,2020-08-20,81.69999694824219,-18.300003051757812,100.0,0.31,0.3,0.32,0.120000005,63.157898,490.0,4130.0,0.532231240234375,False,0.11864406779661017,128030.0,-0.2239902537983087
30,AMD,2020-08-20,78.19999694824219,-11.800003051757812,90.0,0.9,0.88,0.9,0.16999996,23.287664,3374.0,4895.0,0.5537154003906251,False,0.6892747701736466,440550.0,-0.15089518557868764
31,AMD,2020-08-20,78.19999694824219,-16.800003051757812,95.0,0.46,0.44,0.48,0.04000002,9.523815,704.0,3308.0,0.5727581787109376,False,0.21281741233373638,152168.0,-0.21483380699972585
95,GOOGL,2020-08-20,1538.3699951171875,-161.6300048828125,1700.0,7.4,6.0,7.4,0.4000001,5.7142873,321.0,3317.0,0.3371648315429688,False,0.0967741935483871,2454580.0000000005,-0.10506575491970649
306,AMZN,2020-08-20,3051.8798828125,-348.1201171875,3400.0,36.5,36.5,40.0,-3.6899986,-9.181385,596.0,1399.0,0.4946034426879883,False,0.4260185847033595,5106350.0,-0.1140674373025079
308,AMZN,2020-08-20,3051.8798828125,-368.1201171875,3420.0,35.91,32.5,37.85,-0.61999893,-1.6972322,415.0,517.0,0.5002262502288819,False,0.8027079303675049,1856546.9999999998,-0.12062077516899324
316,AMZN,2020-08-20,3051.8798828125,-448.1201171875,3500.0,26.6,26.0,27.8,-1.75,-6.1728396,622.0,1366.0,0.5015461222839355,False,0.45534407027818447,3633560.0,-0.14683412663493461
334,AMZN,2020-08-20,3051.8798828125,-948.1201171875,4000.0,6.56,6.6,6.65,-1.29,-16.43312,456.0,1570.0,0.5990640679931643,False,0.29044585987261146,1029919.9999999999,-0.3106675732970681
348,AMZN,2020-08-20,3051.8798828125,-1548.1201171875,4600.0,2.53,2.0,2.53,0.089999914,3.688521,432.0,1969.0,0.719729365234375,False,0.21940071102082276,498157.0,-0.5072677092916283
15,AAL,2020-08-20,11.180000305175781,-1.3199996948242188,12.5,0.43,0.4,0.44,-0.110000014,-20.37037,217.0,9760.0,0.8085956640624999,False,0.02223360655737705,419680.0,-0.11806794801366194
16,AAL,2020-08-20,11.180000305175781,-1.8199996948242188,13.0,0.32,0.32,0.33,-0.09,-21.951221,1700.0,22794.0,0.8281267187499999,False,0.0745810300956392,729408.0,-0.1627906659342084
18,AAL,2020-08-20,11.180000305175781,-2.8199996948242188,14.0,0.13,0.19,0.22,-0.13,-50.0,660.0,8455.0,0.87695435546875,False,0.07806031933767002,109915.00000000001,-0.25223610177530137
20,AAL,2020-08-20,11.180000305175781,-3.8199996948242188,15.0,0.13,0.12,0.14,-0.050000012,-27.777782,3871.0,23870.0,0.914063359375,False,0.1621700879765396,310310.0,-0.3416815376163943
22,AAL,2020-08-20,11.180000305175781,-4.819999694824219,16.0,0.1,0.09,0.1,-0.019999996,-16.666664,282.0,6640.0,0.9765627343750001,False,0.04246987951807229,66400.0,-0.4311269734574873
